Country,corruption,employment,HDI,life_exp,pop_dens,ppp,prosperity
Afghanistan,13.01553909,63.55818211,0.479916997,61.92590909,49.50069833,1897.512455,33.9360031
Albania,34.22995091,47.36790848,0.772260315,77.12963636,105.7540909,11693.21127,57.7420922
Algeria,33.18579727,37.4314544,0.744163632,75.35363636,16.0710676,14441.566640000001,49.62233939
Angola,19.91366818,71.7526363,0.5470100729999999,56.83445455,20.94297578,6937.601181999999,37.79260376
Argentina,34.81461273,55.64172779,0.824168903,75.59090909,15.42939709,20044.75864,58.85801448
Armenia,33.29908727,48.8185456,0.743041539,73.80318182,102.1875243,8765.904545,57.03015536
Australia,81.58559636,61.54327323,0.9307789240000001,81.96940133,3.007596525,48295.35736,78.63574163
Austria,74.98809364,57.05554511,0.9019476040000001,80.95853659,103.41601419999999,48355.00418,79.64615619
Azerbaijan,27.25021364,61.67827294,0.742360962,71.40636364,113.7117923,17487.874359999998,52.99242069
Bahamas,68.2368175,64.7338184,0.798161096,72.57781818,36.58820271,31723.19664,
Bahrain,46.09989,71.19727325,0.8154504290000001,76.33709091,1725.763184,47038.43345,61.02218911
Bangladesh,25.77901091,54.739999600000004,0.576292417,70.49636364,1173.727063,3801.942818,44.919811700000004
Barbados,71.373902,59.49218195,0.808904115,78.54,660.2501057,17601.892359999998,
Belarus,33.56211182,59.89390911,0.804952152,71.91064302,46.75897036,18656.92091,56.65149277
Belgium,74.71584636,49.2949999,0.9092019459999999,80.58159645,367.2347664,44874.74873,76.21859182
Belize,,60.10000021,0.707783663,72.79627273,15.14261289,8220.823455,54.71720359
Benin,35.51804545,69.52309002,0.49705700399999997,59.79745455,89.03114177,2945.3176359999998,44.75091779
Bhutan,62.58396727,65.44063707,0.594456465,69.13090909,18.65685775,8029.537090999999,
Bolivia,31.42111909,67.80445515,0.676038987,68.86845455,9.729688494,6870.049091,52.08452214
Bosnia and Herzegovina,36.91564636,35.35581831,0.745528773,76.35827273,69.20742365,11824.889,57.12591451
Botswana,61.16171091,56.71672717,0.696303627,62.84636364,3.6577076139999996,16229.572730000002,57.29050482
Brazil,38.61282727,58.30709041,0.7448745940000001,74.14009091,24.03938462,15848.617180000001,59.49649947
Brunei Darussalam,57.78599667,60.78254561,0.840635455,74.96754545,76.71178196,80980.42827,
Bulgaria,40.20815091,49.2959997,0.795685746,74.054102,66.89086781,20073.82191,63.17817269
Burkina Faso,37.67847636,63.97981817,0.40202214299999994,58.13590909,62.61623139,1753.520364,43.95092494
Burundi,19.48657818,77.57145413,0.41676332899999996,58.29418182,373.26105210000003,748.9342727000001,36.72746226
Cabo Verde,56.02231091,59.89563647,0.638235091,71.51854545,127.0342432,6660.538545,56.82318908
Cambodia,20.73687182,81.60745517,0.556145366,67.29563636,85.21275107,3600.797818,47.49218457
Cameroon,24.95658818,73.59281783,0.530228289,56.09381818,46.83667769,3441.150818,41.86774573
Canada,83.06586999999999,61.21527238,0.9097337390000001,81.49254989,3.857559952,46125.95145,79.52111393
Central African Republic,23.28220364,67.50190804,0.36307118899999996,48.78454545,7.158874063,822.5911818,31.86990949
Chad,19.491329999999998,69.93908969,0.39239515799999997,51.74590909,10.53286055,2445.544818,32.72131446
Chile,69.46714182,57.31400022,0.828754442,79.10136364,23.71963459,23475.49364,68.0182527
China,38.21415727,66.82681899,0.728592116,75.01772727,144.6601996,14679.698269999999,58.50140872
Colombia,36.31515818,63.39181865,0.745292814,75.86027273,42.0890624,13584.78564,57.00826816
Comoros,25.37337,41.62045461,0.528625765,62.47445455,399.13720539999997,2650.216,44.82653448
"Congo, Dem. Rep.",20.56460636,61.80663612,0.433956719,57.77981818,31.63206903,728.7738182,33.47926516
"Congo, Rep.",21.32212455,61.72899939999999,0.5857762320000001,61.16727273,13.54653108,6910.6156359999995,40.58261468
Costa Rica,54.45281364,56.04690899,0.777014839,79.09909091,92.78990136,15697.04927,66.9674532
Cote d'Ivoire,29.57609455,56.07927253,0.480808525,54.18218182,69.77251344,3486.0859090000004,42.92211025
Croatia,46.21295,45.28318197,0.823926356,76.88099778,75.61318962,23263.04736,64.98135871
Cuba,45.33085364,53.16400008,0.771407643,78.40409091,107.29297690000001,,54.24326893
Cyprus,61.24149455,56.05545495,0.859497642,79.80009091,123.4593172,36417.296,69.21200658
Czech Republic,51.78916727,56.28481848,0.874848411,78.02106429999999,136.1734492,32976.85209,72.00468724
Denmark,90.62916364,58.93172663,0.922917201,79.79556541,133.6450862,48125.14873,83.03175184
Djibouti,31.98279091,55.39518183,0.469496975,61.821000000000005,38.17671974,4637.984636,46.59398089
Dominican Republic,29.99069909,57.340454799999996,0.7199953459999999,72.51718182,207.950876,15343.984269999999,56.373348
Ecuador,30.95474182,63.95218138,0.744187116,75.51899999999999,63.4238532,11023.57864,54.40329325
Egypt,32.78380636,43.10527281,0.681566234,70.73009091,89.04777675,12343.76118,46.51868183
El Salvador,36.02262909,57.54254567,0.659862348,71.69681818,302.6199851,7346.928909,54.68127404
Equatorial Guinea,18.01522125,56.6386365,0.58797665,56.352,38.49467833,28618.462639999998,48.44797006
Eritrea,22.06872455,74.91354509,0.431226084,63.10909091,31.10669802,1007.793818,35.012896600000005
Estonia,68.50328273,56.42872758,0.862817217,76.04035477,30.79392405,29407.365639999996,74.57110189
Eswatini,36.53530444,38.83509098,0.560695937,50.29681818,63.3425,9953.281455,44.5419037
Ethiopia,32.08264727,79.03427263,0.439953194,62.81963636,95.65459909,1845.487727,39.56742141
Fiji,,56.68627236,0.7087425140000001,66.83927273,47.37703637,10125.704179999999,
Finland,88.91266091,54.26245533,0.9141082429999999,80.54678492,17.86455988,43096.39936,81.62804733
France,69.82278545,50.43909073,0.8819314309999999,81.97716186,120.32494740000001,42374.65182,75.75963162
Gabon,32.34818364,40.65145423,0.680420102,62.76345455,7.05146223,17683.68345,49.33303362
Gambia,31.37446,53.85381803,0.44784349799999995,60.12345455,194.8676428,2479.231364,45.14801246
Georgia,50.21179,56.28527277,0.758106811,72.08490909,65.66128499,9783.566636,58.90329868
Germany,79.86013091,57.17581836,0.929013781,80.38847007,233.9291647,47900.20982,80.20864161
Ghana,42.68250909,63.93563635,0.574660717,61.68836364,117.0425128,5669.189182,52.77467068
Greece,41.53542455,42.4314544,0.862564075,80.70931264,84.90932647,27684.553819999997,65.19515315
Grenada,53.25,,0.7516892959999999,72.70190909,318.4438503,13712.95209,
Guatemala,29.47980091,60.31318214,0.6273921339999999,72.17972727,145.65304640000002,7755.0419999999995,53.32554025
Guinea,24.37299364,62.20499939999999,0.43786168,57.89518182,44.64213147,1976.920091,40.51749923
Guinea-Bissau,19.00169545,69.47236287,0.443891653,55.53736364,58.78770852,1740.952091,41.8645656
Guyana,30.98875182,49.9863635,0.655555759,68.52027273,3.864080172,8246.453000000001,53.89026619
Haiti,19.27262091,57.30927346,0.485259425,61.30781818,377.1471599,1736.868727,39.19112963
Honduras,27.53809364,61.55518202,0.607424297,73.77554545,78.58766971,4683.478818,51.43435661
Hong Kong,77.89983182,58.13454576,0.918769617,83.48691796,6844.632035,57223.17936,79.29624872
Hungary,49.14131636,49.38709086,0.8325393409999999,74.90110865,109.4859175,27633.14455,66.19735405
Iceland,80.15820636,72.07463629,0.91679729,82.16252772,3.271876672,48769.07091,79.47575063
India,37.09007909,51.2590006,0.6122178460000001,67.422,430.2430336,6450.8651820000005,50.02417363
Indonesia,33.84346364,63.83509168,0.6867046179999999,69.80009091,138.9390201,11379.825359999999,57.36466757
Iran,26.10942818,38.02209126,0.7808190140000001,74.62918182,47.07769463,18034.772,47.16475186
Iraq,17.00375273,38.93836316,0.665360253,69.155,76.47313497,16257.89855,41.89310064
Ireland,74.48730818,55.44018208,0.915039608,80.87960089,67.51795748,62474.843,79.05088758
Israel,60.82443636,59.86381774,0.896144578,81.73592018,373.4359771,34638.52036,69.49822312
Italy,45.00628455,43.46799989,0.875177202,82.34833703,203.8200236,37161.92345,70.35416093
Jamaica,38.31021545,57.492090399999995,0.722327618,74.086,263.9389407,8908.127182,58.42988374
Japan,75.03718182,57.90200043,0.899698032,83.21403548,349.5772818,40633.80482,76.16462983
Jordan,48.16886545,34.70309136,0.724091791,73.67281818,94.71737953,9316.744091,56.12253552
Kazakhstan,28.99452273,66.87709184,0.7912745609999999,69.83286031,6.310901716,24936.718999999997,56.66565931
Kenya,25.31226364,59.91590951,0.553129451,62.298,80.0267215,3277.222273,48.6463662
Kiribati,30.26691333,,0.606174796,66.38790909,132.935578,1877.426545,
"Korea, North",11.34402889,77.90990864,,70.35763636,207.03497969999998,,
"Korea, South",55.23308545,59.71463637,0.8931044159999999,80.91175166,518.0452093,38447.48855,72.30051833
Kuwait,43.01457364,71.88200101,0.80134826,74.65,194.82216609999998,67732.39055,60.39033154
Kyrgyzstan,25.38170727,57.78136375,0.656126042,69.79645233,30.03943502,3485.8414549999998,52.35065629
Lao PDR,25.19451545,77.59727201,0.577404253,65.16154545,28.36738499,6298.174273,47.90489846
Latvia,51.90390909,52.67927309,0.834323512,73.56407982,32.63149342,25209.93982,68.66753494
Lebanon,27.26076727,43.62345435,0.738603913,78.45227273,571.8780148,14966.84509,53.52798274
Lesotho,41.10555,50.19972715,0.48835027299999995,47.60954545,67.06533717,3155.408636,44.89450333
Liberia,34.26254091,55.00454573,0.457282565,60.56809091,43.97700185,1370.598455,43.22118358
Libya,18.46771818,42.75372731,0.7156333909999999,72.109,3.60506155,12665.838,44.24616359
Lithuania,55.77451364,52.7081819,0.84541669,73.49246120000001,47.52126145,29319.712819999997,67.71821354
Luxembourg,81.73366364,54.81245457,0.8967568340000001,81.38758315,224.3935653,100303.4236,80.14500895
Macau,51.36957667,69.42636386,,83.08336364,19150.31968,113262.1508,
Madagascar,27.40073091,85.76890841,0.510661015,64.24209091,39.58691303,1512.512636,42.97785641
Malawi,32.72935,72.79200051,0.461655531,57.90263636,168.4023894,1124.187545,46.21506626
Malaysia,48.09765091,61.11272777,0.788424276,74.88045455,89.60114138,27063.249180000003,64.85337489
Maldives,28.81540286,61.5695454,0.694862338,76.58745455,1404.075758,18461.94745,
Mali,30.50791,65.19909113,0.412387997,56.10463636,13.53118806,2152.778818,43.09739675
Malta,55.17496727,49.88881787,0.86388136,81.19623059999999,1359.4099429999999,38153.92318,74.91150685
Mauritania,27.66122545,41.42136348,0.5093443320000001,63.09909091,3.716200111,4304.432818,38.68809136
Mauritius,52.87922545,54.09436313,0.7739530859999999,73.59960089,619.1588446000001,20537.69409,65.12014476
Mexico,31.60986818,58.67463615,0.753554625,75.02045455,61.06048294,18754.62,58.39040052
Moldova,32.34449636,40.04327254,0.697089015,70.31409091,123.9272163,6266.330545000001,54.71682131
Mongolia,34.43337455,56.38927286,0.7205682870000001,68.01209091,1.8597365819999998,11601.554820000001,54.51964808
Montenegro,42.51816182,41.13900029,0.8024562040000001,75.62554545,46.14780669,16653.569180000002,62.42700841
Morocco,37.40309818,43.34218181,0.646831615,74.83890909,75.59965901,8015.4118180000005,53.00266238
Mozambique,27.53429273,77.45254517,0.415720215,54.46209091,32.6717844,1154.9851820000001,42.27977854
Myanmar,21.62754182,64.51645314,0.55162666,64.44490909,79.35335536,5107.626545,42.99958481
Namibia,49.02695455,47.13309132,0.6192757520000001,58.67790909,2.719194275,10562.485359999999,55.19828338
Nepal,27.82838818,81.83772763,0.553286605,68.33963636,189.2447671,2648.201091,47.18218317
Netherlands,84.72227,60.77654509,0.9229856320000001,81.05033259,499.03730939999997,51646.38164,81.20911199
New Zealand,90.42061909,64.57563678,0.909326857,81.04620843,17.13338236,36692.25045,80.79548949
Nicaragua,26.02686,62.13745464,0.6333268479999999,72.91172727,50.39158521,4930.119455,51.75981581
Niger,31.85496273,78.66454523,0.34648418,58.58045455,14.71600156,963.9969091,40.25888197
Nigeria,26.04485091,52.45363582,0.513585866,51.748999999999995,189.1654165,5763.887636,41.80411749
North Macedonia,39.67515091,40.30118214,0.746047415,74.95345455,82.30087093,14127.75964,60.78057495
Norway,85.80895818,62.32554592,0.9462593909999999,81.50909091,13.86358068,69388.95573,82.83190027
Oman,48.48597818,64.8389095,0.813484753,76.15481818,12.17558232,46486.066269999996,59.08822819
Pakistan,28.60722909,51.26463629999999,0.541209354,65.77454545,248.47128790000002,5015.725636,40.71292709
Panama,36.33290818,62.82127276,0.776140252,77.18863636,51.65599579,22076.76236,62.94738779
Papua New Guinea,25.15044455,46.6275451,0.525254931,62.59672727,17.20252215,3451.473182,47.62117591
Paraguay,25.56151909,67.06072651,0.70685325,73.05218182,16.39437316,11767.79082,55.58433723
Peru,36.25964273,75.01236517,0.742142002,74.95190909,23.42673416,12606.52436,59.26749561
Philippines,32.40390818,59.77427292,0.691593107,70.15472727,331.4316125,7544.747364,55.22562376
Poland,58.07492545,52.23809052,0.8505603909999999,76.72062084,124.213163,27481.25518,68.66424561
Portugal,61.90691727,52.75218201,0.83589245,80.06008869,114.0449985,29277.86645,72.10857531
Puerto Rico,59.97774833,37.00681825,,78.83699335,400.3667828,37441.09655,
Qatar,67.50479,86.32981803,0.847591022,79.35163636,193.4237256,134903.5121,65.57496792
Romania,43.10195091,51.00263665,0.803545579,74.21152993,86.86776807,22063.37164,63.23474333
Russia,26.68068818,58.84418141,0.8023145629999999,69.91764967,8.766689728,26824.31927,55.89070287
Rwanda,49.98492636,83.41827323,0.508429592,64.71581818,440.01029589999996,1940.289182,50.70336528
Saint Vincent and the Grenadines,60.84573111,54.84718184,0.717847233,71.90290909,279.2104895,11098.18118,
Samoa,44.1980425,29.48836344,0.697354818,72.06790909,67.22752971,5427.925636,
San Marino,,,,85.41707317,539.3606061,58249.07818,
Sao Tome and Principe,39.98757182,51.16254494,0.573811973,68.14109091,199.7050189,3017.94,53.76013177
Saudi Arabia,47.44241273,51.19518141,0.839521582,74.20872727,13.9255606,52795.43945,56.47936146
Senegal,39.24593545,43.42363635,0.492556726,65.15972727,71.89274493,3218.178273,48.66710039
Serbia,38.73890455,43.17090919,0.7792781590000001,74.79977827,81.95642268,15575.341,59.29761332
Seychelles,55.221709999999995,,0.7829918109999999,73.53104213,197.97964430000002,26351.87009,
Sierra Leone,28.60082636,56.61400015,0.41607854899999996,50.683,95.23949344,1556.729909,41.806657799999996
Singapore,86.96985364,65.08154609,0.920885698,81.90731707,7553.988818000001,89362.94445,78.27538295
Slovakia,47.51965182,52.66445403,0.8429753329999999,75.92017738,112.55559009999999,30713.63782,68.65124945
Slovenia,60.60953364,53.50918198,0.8866085309999999,80.03104213,102.01282490000001,32527.70791,72.60432134
Solomon Islands,35.72340286,70.33436307,0.542982298,71.26227273,20.50684335,2060.865,
South Africa,43.70934273,40.21909055,0.68349082,59.573,44.28337731,13024.89345,56.89804344
South Sudan,13.14285714,63.81027291,0.42798572799999995,55.52609091,,1900.0171,32.36992463
Spain,60.11781818,46.53372713,0.87772988,82.35011086,93.10840894,36082.66736,73.46124428
Sri Lanka,36.17743273,51.34736356,0.7647856470000001,75.80872727,330.2980516,11678.71127,55.24623599
Sudan,14.14887091,41.1114547,0.489423813,63.375,20.7856896,4301.125909,37.27052996
Suriname,38.5286,48.02272762,0.717680027,70.71772727,3.5063350819999997,15115.13009,56.50205951
Sweden,88.36226182,59.00090894,0.9213138479999999,81.75809313,23.62447326,49080.76818,82.8374848
Switzerland,86.27424909,64.74145473,0.9378927159999999,82.68314856,204.81412319999998,60116.72436,82.54550316
Syria,19.14347091,38.55690904,0.586025946,71.42954545,105.19237749999999,6373.3640000000005,40.02752264
Taiwan,61.12392,,,,,47534.59127,74.0795489
Tajikistan,22.97426273,38.51009057,0.640464794,69.22254545,58.10194453,2873.643727,48.269326
Tanzania,32.04593273,82.26263566,0.505930845,60.36981818,55.00501724,2826.4370910000002,46.80882648
Thailand,35.89182182,69.58963568,0.739607015,74.91763636,133.2531367,17039.36773,59.20291615
Timor-Leste,30.52375909,38.81000068,0.6186253979999999,67.58327273,77.78825579,6051.796364,
Togo,28.98376182,76.67918257,0.49056422200000005,58.37945455,128.0968778,1547.674091,39.89005698
Tonga,30.46398,59.07654537,0.703534867,70.25609091,142.3559343,5458.048000000001,
Trinidad and Tobago,37.70024818,59.95009128,0.790843022,72.31981818,263.73168530000004,32295.297639999997,60.62649425
Tunisia,41.05390818,39.55518202,0.7263748720000001,75.40127273,70.6060686,11497.96618,54.97099284
Turkey,43.36987364,45.00109031,0.777173407,75.29918182,98.87833823,23852.64664,56.4808348
Turkmenistan,18.09379364,62.19772755,0.694619504,67.02318182,11.44113495,15917.59982,51.41252571
Uganda,25.93990636,69.22945404,0.505619948,58.68718182,179.93797659999998,2281.713545,44.55602901
Ukraine,26.72443182,49.87918195,0.741359909,70.40685144,78.44104345,8769.964909,53.50229411
United Arab Emirates,68.29353455,81.4555456,0.843792071,76.71209091,125.18797140000001,65517.175,66.02814497
United Kingdom,78.15916727,58.34236388,0.910403362,80.63059867,265.22416699999997,42021.35627,79.53211875
United States,72.94153,58.51972788,0.915144765,78.51751663,34.54743151,57086.449,77.31713403
Uruguay,70.94950909,60.31754511,0.794227318,76.98127273,19.37910421,20869.163269999997,66.99334398
Uzbekistan,19.20414818,61.516181599999996,0.6871170240000001,70.17018182,71.00017096,7222.857818,51.2011628
Vanuatu,39.71614333,66.44181754,0.589214393,69.42154545,21.1163174,2686.383091,
Venezuela,18.35408818,58.86945516,0.7552684409999999,72.85390909,33.01966143,15856.673,46.06171473
Vietnam,31.33125727,75.90936487,0.672943355,74.92072727,292.86591239999996,6249.536545,53.97027078
West Bank and Gaza,,32.62418192,0.6813281659999999,73.04790909,677.1579432,,
Yemen,18.25486091,33.30436377,0.492016144,65.654,47.66359452,3041.623818,34.16264606
Zambia,35.17749545,69.13081707,0.559983966,57.90672727,20.16959188,3798.5722729999998,48.45972797
Zimbabwe,21.93615182,78.73200018,0.5198992920000001,54.03772727,34.56155334,2578.8415449999998,40.77721542
